year,league,division,team,wins,peryearwinschange,losses,ties,wp,gb,teampayroll,peryearpayrollchange
2019,National,West,Arizona Diamondbacks,85,3,77,0,0.525,21.0,123932983,0.06803
2018,National,West,Arizona Diamondbacks,82,-11,80,0,0.506,9.5,116038416,0.48685
2017,National,West,Arizona Diamondbacks,93,24,69,0,0.574,11.0,78042999,-0.01738
2016,National,West,Arizona Diamondbacks,69,-10,93,0,0.426,22.0,79423163,0.24463
2015,National,West,Arizona Diamondbacks,79,15,83,0,0.488,13.0,63812833,-0.43372
2014,National,West,Arizona Diamondbacks,64,-17,98,0,0.395,30.0,112688666,0.50040
2013,National,West,Arizona Diamondbacks,81,0,81,0,0.500,11.0,75105500,0.01105
2012,National,West,Arizona Diamondbacks,81,-13,81,0,0.500,13.0,74284833,0.38488
2011,National,West,Arizona Diamondbacks,94,29,68,0,0.580,0.0,53639833,-0.11658
2010,National,West,Arizona Diamondbacks,65,-5,97,0,0.401,27.0,60718167,-0.17409
2009,National,West,Arizona Diamondbacks,70,-12,92,0,0.432,25.0,73516666,0.11048
2008,National,West,Arizona Diamondbacks,82,-8,80,0,0.506,2.0,66202713,0.27148
2007,National,West,Arizona Diamondbacks,90,14,72,0,0.556,0.0,52067546,-0.12762
2006,National,West,Arizona Diamondbacks,76,-1,86,0,0.469,12.0,59684226,-0.04244
2005,National,West,Arizona Diamondbacks,77,26,85,0,0.475,5.0,62329166,-0.11218
2004,National,West,Arizona Diamondbacks,51,-33,111,0,0.315,42.0,70204984,-0.12941
2003,National,West,Arizona Diamondbacks,84,-14,78,0,0.519,16.0,80640333,-0.21571
2002,National,West,Arizona Diamondbacks,98,6,64,0,0.605,0.0,102820000,0.26615
2001,National,West,Arizona Diamondbacks,92,7,70,0,0.568,0.0,81206513,0.00221
2000,National,West,Arizona Diamondbacks,85,-15,77,0,0.525,12.0,81027333,0.15676
1999,National,West,Arizona Diamondbacks,100,0,62,0,0.617,0.0,70046818,0.00000
2019,National,East,Atlanta Braves,97,7,65,0,0.599,0.0,113778369,0.36579
2018,National,East,Atlanta Braves,90,18,72,0,0.556,0.0,83306041,-0.39343
2017,National,East,Atlanta Braves,72,4,90,0,0.444,24.0,137339527,1.27561
2016,National,East,Atlanta Braves,68,1,93,0,0.422,26.5,60352791,-0.25717
2015,National,East,Atlanta Braves,67,-12,95,0,0.414,23.0,81247648,-0.26736
2014,National,East,Atlanta Braves,79,-17,83,0,0.488,17.0,110897341,0.50674
2013,National,East,Atlanta Braves,96,2,66,0,0.593,0.0,73600692,-0.11654
2012,National,East,Atlanta Braves,94,5,68,0,0.580,4.0,83309942,-0.04244
2011,National,East,Atlanta Braves,89,-2,73,0,0.549,13.0,87002692,0.03055
2010,National,East,Atlanta Braves,91,5,71,0,0.562,6.0,84423667,-0.12719
2009,National,East,Atlanta Braves,86,14,76,0,0.531,7.0,96726166,-0.05563
2008,National,East,Atlanta Braves,72,-12,90,0,0.444,20.0,102424018,0.17337
2007,National,East,Atlanta Braves,84,5,78,0,0.519,5.0,87290833,-0.03179
2006,National,East,Atlanta Braves,79,-11,83,0,0.488,18.0,90156876,0.04279
2005,National,East,Atlanta Braves,90,-6,72,0,0.556,0.0,86457302,-0.02317
2004,National,East,Atlanta Braves,96,-5,66,0,0.593,0.0,88507788,-0.16694
2003,National,East,Atlanta Braves,101,0,61,0,0.623,0.0,106243667,0.13666
2002,National,East,Atlanta Braves,101,13,59,0,0.631,0.0,93470367,0.01762
2001,National,East,Atlanta Braves,88,-7,74,0,0.543,0.0,91851587,0.08651
2000,National,East,Atlanta Braves,95,-8,67,0,0.586,0.0,84537836,0.06663
1999,National,East,Atlanta Braves,103,0,59,0,0.636,0.0,79256599,0.00000
2019,American,East,Baltimore Orioles,54,7,108,0,0.333,49.0,72722906,-0.50916
2018,American,East,Baltimore Orioles,47,-28,115,0,0.290,61.0,148160873,0.07578
2017,American,East,Baltimore Orioles,75,-14,87,0,0.463,18.0,137724237,0.03300
2016,American,East,Baltimore Orioles,89,8,73,0,0.549,4.0,133324358,0.27732
2015,American,East,Baltimore Orioles,81,-15,81,0,0.500,12.0,104378208,-0.02820
2014,American,East,Baltimore Orioles,96,11,66,0,0.593,0.0,107406623,0.31565
2013,American,East,Baltimore Orioles,85,-8,77,0,0.525,12.0,81637464,0.00256
2012,American,East,Baltimore Orioles,93,24,69,0,0.574,2.0,81428999,-0.04543
2011,American,East,Baltimore Orioles,69,3,93,0,0.426,28.0,85304038,0.04523
2010,American,East,Baltimore Orioles,66,2,96,0,0.407,30.0,81612500,0.21625
2009,American,East,Baltimore Orioles,64,-4,98,0,0.395,39.0,67101666,-0.00141
2008,American,East,Baltimore Orioles,68,-1,93,0,0.422,28.0,67196248,-0.28174
2007,American,East,Baltimore Orioles,69,-1,93,0,0.426,27.0,93554808,0.28889
2006,American,East,Baltimore Orioles,70,-4,92,0,0.432,27.0,72585582,-0.01798
2005,American,East,Baltimore Orioles,74,-4,88,0,0.457,21.0,73914333,0.44328
2004,American,East,Baltimore Orioles,78,7,84,0,0.481,23.0,51212653,-0.30679
2003,American,East,Baltimore Orioles,71,4,91,1,0.438,30.0,73877500,0.22125
2002,American,East,Baltimore Orioles,67,4,95,0,0.414,36.0,60493487,-0.16476
2001,American,East,Baltimore Orioles,63,-11,98,0,0.391,32.0,72426328,-0.11076
2000,American,East,Baltimore Orioles,74,-4,88,0,0.457,13.0,81447435,0.07958
1999,American,East,Baltimore Orioles,78,0,84,0,0.481,20.0,75443363,0.00000
2019,American,East,Boston Red Sox,84,-24,78,0,0.519,19.0,222171123,0.07721
2018,American,East,Boston Red Sox,108,15,54,0,0.667,0.0,206247686,0.18735
2017,American,East,Boston Red Sox,93,0,69,0,0.574,0.0,173704598,0.08156
2016,American,East,Boston Red Sox,93,15,69,0,0.574,0.0,160606261,0.09633
2015,American,East,Boston Red Sox,78,7,84,0,0.481,15.0,146494748,-0.10025
2014,American,East,Boston Red Sox,71,-26,91,0,0.438,25.0,162817411,0.04022
2013,American,East,Boston Red Sox,97,28,65,0,0.599,0.0,156522142,-0.09622
2012,American,East,Boston Red Sox,69,-21,93,0,0.426,26.0,173186617,0.07062
2011,American,East,Boston Red Sox,90,1,72,0,0.556,7.0,161762475,-0.00605
2010,American,East,Boston Red Sox,89,-6,73,0,0.549,7.0,162747333,0.33678
2009,American,East,Boston Red Sox,95,0,67,0,0.586,8.0,121745999,-0.08764
2008,American,East,Boston Red Sox,95,-1,67,0,0.586,2.0,133440037,-0.06702
2007,American,East,Boston Red Sox,96,10,66,0,0.593,0.0,143026214,0.19089
2006,American,East,Boston Red Sox,86,-9,76,0,0.531,11.0,120099824,-0.02757
2005,American,East,Boston Red Sox,95,-3,67,0,0.586,0.0,123505125,-0.01360
2004,American,East,Boston Red Sox,98,3,64,0,0.605,3.0,125208542,0.25276
2003,American,East,Boston Red Sox,95,2,67,0,0.586,6.0,99946500,-0.07770
2002,American,East,Boston Red Sox,93,11,69,0,0.574,10.0,108366060,-0.01089
2001,American,East,Boston Red Sox,82,-3,79,0,0.509,13.0,109558908,0.40568
2000,American,East,Boston Red Sox,85,-9,77,0,0.525,2.0,77940333,0.07756
1999,American,East,Boston Red Sox,94,0,68,0,0.580,4.0,72330656,0.00000
2019,National,Central,Chicago Cubs,84,-11,78,0,0.519,7.0,210358488,0.19992
2018,National,Central,Chicago Cubs,95,3,68,0,0.583,1.0,175310002,0.04188
2017,National,Central,Chicago Cubs,92,-11,70,0,0.568,0.0,168263502,-0.02657
2016,National,Central,Chicago Cubs,103,6,58,0,0.640,0.0,172855456,0.48673
2015,National,Central,Chicago Cubs,97,24,65,0,0.599,3.0,116265880,0.30624
2014,National,Central,Chicago Cubs,73,7,89,0,0.451,17.0,89007857,-0.13966
2013,National,Central,Chicago Cubs,66,5,96,0,0.407,31.0,103456533,0.17302
2012,National,Central,Chicago Cubs,61,-10,101,0,0.377,36.0,88197033,-0.29469
2011,National,Central,Chicago Cubs,71,-4,91,0,0.438,25.0,125047329,-0.14852
2010,National,Central,Chicago Cubs,75,-8,87,0,0.463,16.0,146859000,0.08939
2009,National,Central,Chicago Cubs,83,-14,78,0,0.516,7.0,134809000,0.13671
2008,National,Central,Chicago Cubs,97,12,64,0,0.602,0.0,118595833,0.18988
2007,National,Central,Chicago Cubs,85,19,77,0,0.525,0.0,99670332,0.05556
2006,National,Central,Chicago Cubs,66,-13,96,0,0.407,17.0,94424499,0.08493
2005,National,Central,Chicago Cubs,79,-10,83,0,0.488,21.0,87032933,-0.04466
2004,National,Central,Chicago Cubs,89,1,73,0,0.549,16.0,91101667,0.14065
2003,National,Central,Chicago Cubs,88,21,74,0,0.543,0.0,79868333,0.05519
2002,National,Central,Chicago Cubs,67,-21,95,0,0.414,30.0,75690833,0.18238
2001,National,Central,Chicago Cubs,88,23,74,0,0.543,5.0,64015833,0.05743
2000,National,Central,Chicago Cubs,65,-2,97,0,0.401,30.0,60539333,0.09238
1999,National,Central,Chicago Cubs,67,0,95,0,0.414,30.0,55419648,0.00000
2019,American,Central,Chicago White Sox,72,10,89,0,0.447,28.5,89354534,0.03840
2018,American,Central,Chicago White Sox,62,-5,100,0,0.383,29.0,86050333,-0.11411
2017,American,Central,Chicago White Sox,67,-11,95,0,0.414,35.0,97134500,-0.00382
2016,American,Central,Chicago White Sox,78,2,84,0,0.481,16.5,97507000,0.07581
2015,American,Central,Chicago White Sox,76,3,86,0,0.469,19.0,90636200,-0.00574
2014,American,Central,Chicago White Sox,73,10,89,0,0.451,17.0,91159254,-0.22113
2013,American,Central,Chicago White Sox,63,-22,99,0,0.389,30.0,117040777,0.20761
2012,American,Central,Chicago White Sox,85,6,77,0,0.525,3.0,96919500,-0.24157
2011,American,Central,Chicago White Sox,79,-9,83,0,0.488,16.0,127789000,0.18025
2010,American,Central,Chicago White Sox,88,9,74,0,0.543,6.0,108273197,0.12704
2009,American,Central,Chicago White Sox,79,-10,83,0,0.488,7.0,96068500,-0.20705
2008,American,Central,Chicago White Sox,89,17,74,0,0.546,0.0,121152667,0.11485
2007,American,Central,Chicago White Sox,72,-18,90,0,0.444,24.0,108671833,0.05763
2006,American,Central,Chicago White Sox,90,-9,72,0,0.556,6.0,102750667,0.36677
2005,American,Central,Chicago White Sox,99,16,63,0,0.611,0.0,75178000,-0.01357
2004,American,Central,Chicago White Sox,83,-3,79,0,0.512,9.0,76212500,0.49407
2003,American,Central,Chicago White Sox,86,5,76,0,0.531,4.0,51010000,-0.10592
2002,American,Central,Chicago White Sox,81,-2,81,0,0.500,13.0,57052833,-0.08515
2001,American,Central,Chicago White Sox,83,-12,79,0,0.512,8.0,62363000,1.00308
2000,American,Central,Chicago White Sox,95,20,67,0,0.586,0.0,31133500,0.26894
1999,American,Central,Chicago White Sox,75,0,86,0,0.466,21.0,24535000,0.00000
2019,National,Central,Cincinnati Reds,75,8,87,0,0.463,16.0,126423214,0.30769
2018,National,Central,Cincinnati Reds,67,-1,95,0,0.414,28.5,96676785,0.18128
2017,National,Central,Cincinnati Reds,68,0,94,0,0.420,24.0,81840785,-0.09020
2016,National,Central,Cincinnati Reds,68,4,94,0,0.420,35.5,89955059,-0.22939
2015,National,Central,Cincinnati Reds,64,-12,98,0,0.395,36.0,116732284,0.03863
2014,National,Central,Cincinnati Reds,76,-14,86,0,0.469,14.0,112390772,0.24843
2013,National,Central,Cincinnati Reds,90,-7,72,0,0.556,7.0,90025772,0.09516
2012,National,Central,Cincinnati Reds,97,18,65,0,0.599,0.0,82203616,0.08238
2011,National,Central,Cincinnati Reds,79,-12,83,0,0.488,17.0,75947134,0.04919
2010,National,Central,Cincinnati Reds,91,13,71,0,0.562,0.0,72386544,-0.01593
2009,National,Central,Cincinnati Reds,78,4,84,0,0.481,13.0,73558500,-0.00968
2008,National,Central,Cincinnati Reds,74,2,88,0,0.457,23.0,74277685,0.07797
2007,National,Central,Cincinnati Reds,72,-8,90,0,0.444,13.0,68904980,0.13127
2006,National,Central,Cincinnati Reds,80,7,82,0,0.494,3.0,60909519,-0.01588
2005,National,Central,Cincinnati Reds,73,-3,89,0,0.451,27.0,61892583,0.43709
2004,National,Central,Cincinnati Reds,76,7,86,0,0.469,29.0,43067858,-0.27441
2003,National,Central,Cincinnati Reds,69,-9,93,0,0.426,19.0,59355667,0.31754
2002,National,Central,Cincinnati Reds,78,12,84,0,0.481,19.0,45050390,-0.00392
2001,National,Central,Cincinnati Reds,66,-19,96,0,0.407,27.0,45227882,-0.03498
2000,National,Central,Cincinnati Reds,85,-11,77,0,0.525,10.0,46867200,0.23233
1999,National,Central,Cincinnati Reds,96,0,67,0,0.589,1.0,38031285,0.00000
2019,American,Central,Cleveland Indians,93,2,69,0,0.574,8.0,119241701,-0.12741
2018,American,Central,Cleveland Indians,91,-11,71,0,0.562,0.0,136652167,0.43971
2017,American,Central,Cleveland Indians,102,8,60,0,0.630,0.0,94916167,0.63146
2016,American,Central,Cleveland Indians,94,13,67,0,0.584,0.0,58178567,-0.31341
2015,American,Central,Cleveland Indians,81,-4,80,0,0.503,13.0,84735667,0.02667
2014,American,Central,Cleveland Indians,85,-7,77,0,0.525,5.0,82534800,0.19141
2013,American,Central,Cleveland Indians,92,24,70,0,0.568,1.0,69274900,-0.11673
2012,American,Central,Cleveland Indians,68,-12,94,0,0.420,20.0,78430300,0.59442
2011,American,Central,Cleveland Indians,80,11,82,0,0.494,15.0,49190566,-0.19628
2010,American,Central,Cleveland Indians,69,4,93,0,0.426,25.0,61203967,-0.24976
2009,American,Central,Cleveland Indians,65,-16,97,0,0.401,21.0,81579166,0.03304
2008,American,Central,Cleveland Indians,81,-15,81,0,0.500,7.0,78970067,0.28046
2007,American,Central,Cleveland Indians,96,18,66,0,0.593,0.0,61673267,0.10069
2006,American,Central,Cleveland Indians,78,-15,84,0,0.481,18.0,56031500,0.35008
2005,American,Central,Cleveland Indians,93,13,69,0,0.574,6.0,41502500,0.20056
2004,American,Central,Cleveland Indians,80,12,82,0,0.494,12.0,34569300,-0.28848
2003,American,Central,Cleveland Indians,68,-6,94,0,0.420,22.0,48584834,-0.38430
2002,American,Central,Cleveland Indians,74,-17,88,0,0.457,20.0,78909448,-0.14206
2001,American,Central,Cleveland Indians,91,1,71,0,0.562,0.0,91974979,0.21210
2000,American,Central,Cleveland Indians,90,-7,72,0,0.556,5.0,75880971,0.03195
1999,American,Central,Cleveland Indians,97,0,65,0,0.599,0.0,73531692,0.00000
2019,National,West,Colorado Rockies,71,-20,91,0,0.438,35.0,147433009,0.42684
2018,National,West,Colorado Rockies,91,4,72,0,0.558,1.0,103328498,0.10737
2017,National,West,Colorado Rockies,87,12,75,0,0.537,17.0,93309904,0.08950
2016,National,West,Colorado Rockies,75,7,87,0,0.463,16.0,85645071,-0.12839
2015,National,West,Colorado Rockies,68,2,94,0,0.420,24.0,98261171,0.02535
2014,National,West,Colorado Rockies,66,-8,96,0,0.407,28.0,95832071,0.49090
2013,National,West,Colorado Rockies,74,10,88,0,0.457,18.0,64278071,-0.17666
2012,National,West,Colorado Rockies,64,-9,98,0,0.395,30.0,78069571,-0.11434
2011,National,West,Colorado Rockies,73,-10,89,0,0.451,21.0,88148071,0.04655
2010,National,West,Colorado Rockies,83,-9,79,0,0.512,9.0,84227000,0.12002
2009,National,West,Colorado Rockies,92,18,70,0,0.568,3.0,75201000,0.09534
2008,National,West,Colorado Rockies,74,-16,88,0,0.457,10.0,68655500,0.26149
2007,National,West,Colorado Rockies,90,14,73,0,0.552,0.0,54424000,0.31991
2006,National,West,Colorado Rockies,76,9,86,0,0.469,12.0,41233000,-0.14374
2005,National,West,Colorado Rockies,67,-1,95,0,0.414,15.0,48155000,-0.25446
2004,National,West,Colorado Rockies,68,-6,94,0,0.420,25.0,64590403,-0.03854
2003,National,West,Colorado Rockies,74,1,88,0,0.457,26.0,67179667,0.18168
2002,National,West,Colorado Rockies,73,0,89,0,0.451,25.0,56851043,-0.20005
2001,National,West,Colorado Rockies,73,-9,89,0,0.451,19.0,71068000,0.16293
2000,National,West,Colorado Rockies,82,10,80,0,0.506,15.0,61111190,0.12404
1999,National,West,Colorado Rockies,72,0,90,0,0.444,28.0,54367504,0.00000
2019,American,Central,Detroit Tigers,47,-17,114,0,0.292,53.5,116478400,0.04666
2018,American,Central,Detroit Tigers,64,0,98,0,0.395,27.0,111286000,-0.38260
2017,American,Central,Detroit Tigers,64,-22,98,0,0.395,38.0,180250600,-0.00335
2016,American,Central,Detroit Tigers,86,12,75,0,0.534,8.0,180855981,0.04977
2015,American,Central,Detroit Tigers,74,-16,87,0,0.460,20.0,172282250,0.06197
